Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,4,0.9020,5.412,367.6,0.01420,0.992931,"PTPRR BEST3 IKZF4 OR10P1"
2,6,0.9203,13.80,529.2,0.02487,0.998474,"C1orf123 C1orf87 HOOK1 PCSK9 ZYG11B BSND"
3,4,0.9349,5.609,348.2,0.01550,0.992931,"THUMPD2 GALM HNRNPLL STRN"
4,7,0.9112,19.14,737.4,0.02484,0.999299,"NRN1L CKLF PDP2 IL34 CLEC18B CMTM3 NFAT5"
5,5,0.9581,9.581,77.59,0.09860,0.996692,"UBA6 PPP1R15B BIRC6 KCMF1 UBR4"
6,4,0.9227,5.536,401.3,0.01335,0.992931,"STARD9 CYP19A1 FRMD5 WDR72"
7,4,0.9182,5.509,367.8,0.01445,0.992931,"UPK1A EID2B ZNF792 LSM14A"
8,4,0.9245,5.547,368.8,0.01451,0.992931,"TMEM67 NIPAL2 TMEM64 STK3"
9,5,0.9075,9.075,428.9,0.02026,0.996692,"ZNF575 PVR PSG1 PSG3 PSG4"
10,5,0.9059,9.059,420.3,0.02062,0.996692,"N4BP2L2 ZAR1L N4BP2L1 B3GALTL PDS5B"
11,11,0.9021,49.62,1060,0.04385,0.999969,"HSD11B2 CLEC18A DPEP2 WWP2 MTSS1L PARD6A DUS2 LCAT CLEC18B PDPR SMPD3"
12,8,0.9012,25.23,851.7,0.02826,0.999679,"TTC9B CATSPERG SLC7A9 GAPDHS C19orf33 GRAMD1A ALKBH6 ARHGAP33"
13,6,0.9831,14.75,202.5,0.06432,0.998474,"CIAPIN1 CDT1 CFDP1 ZC3H18 BANP DHX38"
14,4,1.000,6.000,54.70,0.08734,0.995529,"C7orf26 INTS10 ASUN VWA9"
15,14,0.9030,82.17,1383,0.05504,0.999997,"CPNE1 DLGAP4 DNMT3B FAM83C MYH7B NNAT SOGA1 GHRH VSTM2L CNBD2 TLDC2 EDEM2 TGIF2 SRC"
16,4,0.9120,5.472,349.9,0.01506,0.992931,"FAM76A TMEM82 PRAMEF8 FAM131C"
17,4,0.9266,5.559,412.2,0.01306,0.992931,"CALB1 C8orf37 RAD54B PKIA"
18,8,0.9169,25.67,783.9,0.03110,0.999679,"COX6B2 SHISA7 KIR2DL3 LAIR2 LILRA2 PTPRH LILRB4 KIR2DL1"
19,4,0.9025,5.415,310.8,0.01670,0.992931,"AEBP1 ICA1 SUN1 NXPH1"
20,9,0.9007,32.43,793.0,0.03845,0.999853,"MIF SLC2A11 GUCD1 LRRC75B SUSD2 DERL3 C22orf15 RGL4 SPECC1L"
21,5,0.9182,9.182,97.25,0.07887,0.996692,"CCNE1 KIDINS220 PAX8 MECOM XPR1"
22,9,0.9265,33.35,880.2,0.03581,0.999853,"APOL1 CYTH4 FOXRED2 NCF4 SH3BP1 APOL3 HMOX1 TEX33 CARD10"
23,6,0.9048,13.57,451.7,0.02844,0.998474,"SCN8A PPP1R1A MYO1A PTPRB OR2AP1 OR6C2"
24,4,0.9097,5.458,58.10,0.07628,0.992931,"DYRK1A AMBRA1 CDKN2C RB1"
25,4,0.9060,5.436,330.4,0.01581,0.992931,"CGB2 SYNGR4 PLA2G4C FUT2"
26,7,0.9274,19.48,718.5,0.02590,0.999299,"DNAAF3 SHISA7 ZNF579 EPN1 NLRP9 PTPRH NLRP7"
27,4,0.9423,5.654,125.3,0.04067,0.992931,"RTFDC1 RPS21 CSTF1 TP53RK"
28,13,0.9037,70.49,1122,0.05783,0.999993,"AARD C8orf76 COL14A1 DEPTOR ENPP2 FBXO32 MTSS1 NOV RGS22 SAMD12 SLC30A8 ZHX1 MMP16"
29,12,0.9001,59.41,1304,0.04283,0.999986,"CATSPERG FAM187B CEP89 WDR88 WDR87 TMEM147 MAG ARHGAP33 IGFLR1 ZNF599 DMKN USF2"
30,6,0.9266,13.90,479.9,0.02748,0.998474,"OSBPL7 SKAP1 LRRC46 SP6 SCRN2 TBKBP1"
31,7,0.9328,19.59,617.3,0.03010,0.999299,"LONP2 ABCC11 C16orf87 CETP CPNE2 PDP2 SHCBP1"
32,10,0.9049,40.72,952.3,0.04020,0.999933,"STC1 EGR3 PTK2B SCARA3 EBF2 BIN3 GFRA2 TNFRSF10D ADAMDEC1 RHOBTB2"
33,6,0.9037,13.56,509.5,0.02533,0.998474,"ZNF569 ZNF568 ZNF571 ZNF829 ZNF383 ZNF566"
34,15,0.9032,94.84,1127,0.07577,0.999999,"AATK BAIAP2 ENTHD2 FAM195B P4HB SLC38A10 DCXR LRRC45 PPP1R27 PYCR1 RAC3 RFNG SLC25A10 TEX19 CSNK1D"
35,4,0.9168,5.501,97.99,0.04934,0.992931,"NOP2 DDX47 NCAPD2 MAGOH"
36,4,0.9077,5.446,271.8,0.01910,0.992931,"ENDOU PUS7L GXYLT1 SLC38A2"
37,4,0.9327,5.596,91.90,0.05304,0.992931,"BRAF SOX10 MAPK1 SOX9"
38,4,0.9150,5.490,297.2,0.01767,0.992931,"MYBL1 ADHFE1 MCMDC2 C8orf46"
39,11,0.9048,49.76,687.7,0.06552,0.999969,"APBB2 TXK GABRA4 TEC CNGA1 CWH43 SLC10A4 ZAR1 GABRB1 CORIN FRYL"
40,12,0.9005,59.44,1259,0.04428,0.999986,"HPN CD22 FFAR1 U2AF1L4 FAM187B UPK1A MAG FFAR2 KMT2B ZNF599 SLC7A10 TSHZ3"
41,5,0.9034,9.034,472.7,0.01837,0.996692,"C7orf57 DBNL GCK UPP1 HECW1"
