Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,126,0.1937,1526,6900,0.1758,1.00000,"AS3MT CDHR1 CHAT COL13A1 HABP2 LIPF LRIT1 MINPP1 NUTM2A OPN4 PALD1 PAPSS2 PAX2 PPP3CB SRGN SYNPO2L TET1 TLL2 TECTB PPP1R3C FBXL15 GLUD1 BLOC1S2 CYP17A1 FAM45A GOT1 SNCG NKX2-3 ACTA2 LIPM ENTPD7 CCDC147 CCDC172 ELOVL3 STAMBPL1 KCNK18 ABCC2 ANKRD22 AVPI1 BTRC CNNM1 CNNM2 CYP26A1 DNMBP DNTT ERLIN1 GOLGA7B HIF1AN HPS6 HSPA12A IDE IFIT2 ITPRIP MMRN2 MORN4 NT5C2 PANK1 PCGF6 PDZD7 PI4K2A PITX3 PKD2L1 POLL PSD PYROXD2 RNLS SEMA4G SFXN2 SH3PXD2A VTI1A ZFYVE27 CC2D2B KCNIP2 SFRP5 CASP7 DPCD LIPJ BLNK ABLIM1 ADIRF ADRA2A ADRB1 HOGA1 LCOR SFXN3 SAMD8 IFIT1 LOXL4 OPALIN CUTC FAS SLK IFIT1B FFAR4 FGF8 AFAP1L2 TSPAN14 ANXA7 AIFM2 C10orf95 C10orf99 CCNJ DYDC1 MAT1A PNLIPRP1 SLC16A12 CUEDC2 CYP26C1 LIPK XPNPEP1 DYDC2 SORCS1 SORBS1 CALHM3 CYP2C9 ARL3 LIPA NEURL1 SORCS3 VWA2 ARHGAP19 SLC35G1 CFAP43 RBP4 LIPN TLX1"
2,7,0.5937,12.47,85.26,0.1116,0.999299,"C7orf26 BRAT1 INTS10 ASUN SNRPB2 VWA9 WDR73"
3,167,0.1925,2669,9136,0.2199,1.00000,"CCDC9 CGB2 DHDH PGLYRP1 SYNGR4 ZNF225 FUT1 ITPKC PSG2 GRIN2D C19orf47 TMEM160 GIPR ZNF285 APOC1 PPP1R37 ZNF229 CNTD2 ATP1A3 PNMAL1 FLT3LG PVRL2 TTC9B CEACAM4 CPT1C ZNF224 CA11 SLC8A2 B9D2 CCDC97 TMEM145 CLPTM1 CNFN RABAC1 DKKL1 ERCC1 APOC4 RAB4B SRRM5 NPAS1 CYP2B6 FAM83E ADM5 LYPD5 LGALS13 PPP5C GSK3A ZFAND5 CATSPERG B3GNT8 PSG6 FOSB VASP C19orf83 CLC QPCTL SHKBP1 APOC2 BCKDHA DMPK PINLYP MEIS3 IGSF23 SPTBN4 TMEM143 LILRA1 PLEKHG2 C19orf73 ELSPBP1 CCDC61 NTN5 IGFL1 ZNF45 CYP2S1 PRX GRIK5 PVR CEACAM3 PLA2G4C CYTH2 KPTN EML2 IFNL2 CEACAM7 TPRX1 PSG1 FGF21 CYP2A6 CGB5 GNG8 CYP2A13 RSPH6A KLC3 RTN2 IGFL2 FOXA3 PNMAL2 ETHE1 CARD8 CCDC114 CALM3 NANOS2 FKRP MYPOP MIA ARHGEF1 C19orf54 LGALS14 SIX5 SPACA4 UPK1A ZNF155 ZNF230 ZNF284 HIPK4 FBXO46 LYPD4 ZNF180 C5AR1 CEACAM21 NTF4 SULT2A1 SULT2B1 APOE MARK4 PRR19 OPA3 TGFB1 CBLC ZNF296 C5AR2 CADM4 DMRTC2 PSG5 CEACAM5 PSG3 SLC1A5 KCNN4 PHLDB3 ZNF233 ZNF780B CEACAM19 SPHK2 TRAPPC6A MAG LIPE CEACAM6 TMEM91 CEACAM16 PTGIR ZNF227 GPR4 TEX101 CRX ZNF222 ZNF226 ZNF235 CXCL17 PSG8 PRKD2 PSG11 PSG9 DMWD DACT3 PSG4 CIC CYP2A7"
4,201,0.1917,3854,7694,0.3225,0.715094,"NPFF ANO6 LMBR1L FAIM2 HOXC11 SCN8A LACRT ARF3 LRRK2 TARBP2 DDIT3 INHBC STAT6 GLI1 AGAP2 KRT5 DNAJC22 SCAF11 INHBE METTL7B PPP1R1A SLC38A4 ANKRD33 CCDC184 KRT77 SOAT2 ASIC1 MIP OR6C4 SLC39A5 C12orf40 ATF7 HOXC6 GTSF1 KCNC2 TMEM194A SLC26A10 TMBIM6 ACVRL1 CNTN1 ENDOU MAP3K12 NELL2 PUS7L SENP1 VDR BIN2 DHH KRT83 BCDIN3D WNT1 CYP27B1 C1QL4 CD63 CSAD TMPRSS12 NXPH4 PHC1 CBX5 STAT2 C12orf10 COQ10A NDUFA4L2 ZBTB39 ATF1 DIP2B NR4A1 PRPF40B SLC4A8 GLS2 KRT75 AMHR2 PFKM NAB2 SMAGP KCNH3 MYO1A TMEM106C R3HDM2 LETMD1 HDAC7 ZNF641 MYL6B STAC3 GRASP DCD TMEM5 ESYT1 KRT86 SDR9C7 HOXC8 NEUROD4 CALCOCO1 XRCC6BP1 CSRNP2 APOF ANP32D ZNF385A FMNL3 GPD1 GXYLT1 HOXC12 POU6F1 ARHGAP9 AQP2 AQP5 CCDC65 DGKA DNAJC14 H1FNT IKZF4 KRT6B KRT78 KRT79 KRT82 METTL7A OR6C3 OR6C75 PMEL MSRB3 ATXN7L3B DTX3 KRT84 C12orf54 GALNT6 KRT3 OR10A7 ADAMTS20 ATP5G2 CELA1 KRT85 LALBA NCKAP5L PRKAG1 PRPH RNF41 TENC1 TMEM117 KIF5A METTL21B CERS5 ADCY6 ARHGEF25 ASB8 OR8S1 SPRYD3 AQP6 OR2AP1 NFE2 B4GALNT1 IGFBP6 OR10AD1 SPRYD4 SP7 OR6C2 HOXC4 SMUG1 HIGD1C PCED1B AVIL CTDSP2 DAZAP2 FAM186A HOXC10 HOXC5 ITGA7 KRT4 KRT74 MARCH9 ORMDL2 OS9 PIP4K2C RDH5 SHMT2 SUOX TBC1D30 TSFM TSPAN31 FKBP11 RHEBL1 KRT1 PDE1B GPR182 PAN2 TUBA1A CACNB3 OR10P1 YAF2 DDN ITGA5 LIMA1 TESPA1 ITGB7 PRICKLE1 COL2A1 LARP4 SPATS2 NCKAP1L MUCL1 IL23A KRT80"
5,120,0.1880,1342,5973,0.1777,1.00000,"ZMYND12 FAAH KNCN TXNDC12 TESK2 MPL TXLNA PODN CITED4 B4GALT2 HECTD3 C1orf123 DMRTA2 CCDC30 HPDL DNALI1 ZSWIM5 C1orf87 EXO5 PTCH2 ERMAP MFSD2A CC2D1B EDN2 SGIP1 DMRTB1 RAD54L ZFP69 HIVEP3 CYB5RL HEYL CTH PTPRF LAPTM5 HOOK1 AKIRIN1 C1orf141 TSPAN1 RIMS3 ZSCAN20 FNDC5 KIAA0319L COL9A2 CYP4X1 PPT1 SMAP2 WDR65 C1orf228 CPT2 GJB3 NT5C1A FOXE3 CCDC17 MYCBP CSMD2 GJB5 GUCA2B ATG4C OSCP1 RSPO1 SZT2 FAM167B SAMD13 LEPRE1 LURAP1 C1orf50 INPP5B MROH7 C1orf177 OXCT2 AGO4 SLC6A9 ST3GAL3 PDZK1IP1 ZFP69B BMP8A SLC1A7 HYI PABPC4 TMEM125 FABP3 PCSK9 EPS15 KCNQ4 AZIN2 RAB3B BEST4 HPCA HPCAL4 FAM183A ZYG11B SLC5A9 TMEM61 RIMKLA COL8A2 MUTYH SLFNL1 TCTEX1D4 TEKT2 ZNF684 BSND ZBTB8B AKR1A1 GJA9 ZNF691 BMP8B TAL1 RPE65 DIRAS3 POMGNT1 SCMH1 GPX7 PLA2G12A TMEM53 CCDC24 KLF17 TIE1 CDCP2 LDLRAD1 CLDN19"
6,10,0.5278,23.75,188.1,0.1024,0.999780,"EXOC7 RABIF EXOC5 STXBP3 RAB10 EXOC2 STX4 SNAP23 EXOC8 EXOC1"
7,21,0.4681,98.30,395.9,0.1833,0.999987,"ARHGEF7 PARVA ITGB1 NCKAP1 RAC1 RSU1 ILK DOCK5 VCL PXN CRKL BCAR1 ELMO2 LIMS1 ITGB5 RAPH1 RAPGEF1 FERMT2 ITGAV PTK2 TLN1"
8,71,0.1635,406.3,3336,0.1046,1.00000,"TLX2 CDC42EP3 OTOF CRIM1 XDH ERLEC1 CCDC88A VIT RAD51AP2 C2orf71 THUMPD2 APOB C2orf70 FNDC4 CAPN13 DHX57 GALM GAREML GTF2A1L ZNF512 ABHD1 AGBL5 C2orf16 CLHC1 DQX1 HADHB ITGB1BP1 ITSN2 KHK LAPTM4A MAPRE3 FOSL2 KRTCAP3 VSNL1 TCF23 HNRNPLL IFT172 DTNB MSH2 PFN4 ATRAID TRIM54 CGREF1 PLB1 PUM2 TTC32 TP53I3 KIF3C SLC30A3 CIB4 ARHGEF33 TRMT61B NCOA1 LBH SPDYA DPYSL5 ALK DNMT3A RBKS CCDC121 NLRC4 FAM179A GCKR EMILIN1 HS1BP3 SLC4A1AP TMEM214 DRC1 STRN RHOB GPR113"
9,115,0.1957,1283,5521,0.1823,1.00000,"FAHD2A VWA3B ZC3H6 RABL2A ACOXL MGAT5 AMER3 C2orf49 FAP FAM178B INPP4A TTL IL37 TXNDC9 RFX8 CHST10 ADRA2B ANKRD36 CFC1 DAPL1 FBLN7 GYPC IL1RL1 LMAN2L TMEM185B TMEM182 PTPN18 MFSD9 SEMA4C SLC9A2 TBC1D8 MALL PTPN4 UPP2 AFF3 ANKRD23 MITD1 SLC35F5 SLC38A11 PSD4 MZT2A KCNIP3 INSIG2 TNFAIP6 PROC LYG2 NXPH2 SULT1C4 GPR45 IL1RL2 KIAA1211L TEKT4 CNGA3 ST6GAL2 TMEM177 ANKRD39 ASTL BCL2L11 C2orf15 CCDC138 CFC1B CHCHD5 CNNM4 CYTIP DPP10 EN1 FAM168B GCA GLI2 IL18RAP IL1F10 IL1RN IL36A IL36B ITPRIPL1 MARCO MGAT4A NCK2 NMS NPHP1 PLEKHB2 SCTR SULT1C2 TANK TMEM163 TMEM87B TSGA10 GPR148 PROM2 CCDC74B ACTR1B BIN1 LYG1 PDCL3 TUBA3D IL1B CYP27C1 SOWAHC POU3F3 SULT1C3 SLC9A4 GPAT2 IL36G RNF149 MYO7B CXCR4 ZAP70 TRIM43 DLX2 DBI MAP3K19 CCNT2 IL1A IL1R2 POTEI"
10,161,0.2457,3164,7011,0.3015,0.999333,"LRRC36 HP DOK4 KIFC3 RANBP10 LONP2 RRAD KIAA0895L BCO1 PRSS54 CSNK2A2 HSD11B2 VAT1L CES5A CLEC18A DPEP2 FBXL8 TSNAXIP1 WWP2 CMTM4 NRN1L LPCAT2 CA7 MT3 MT4 E2F4 SNTB2 RSPRY1 MLKL B3GNT9 ABCC11 ABCC12 AGRP C16orf78 C16orf87 C16orf97 CBLN1 CCDC135 CCL22 CDH16 CETP CKLF CPNE2 CX3CL1 GLG1 GPR114 IRX6 MMP2 MT1B MT1F NLRC5 PDP2 PHKB PLLP RBL2 SALL1 SHCBP1 SLC12A3 SLC38A7 TEPP TK2 BBS2 C16orf70 CAPNS2 CDH13 CES1 CES3 CES4A CLEC18C CMTM1 FAM192A GPR56 GPR97 ITFG1 LDHD MT1A MT1G MTSS1L NOD2 PLEKHG4 PSMB10 TMED6 USB1 ZDHHC1 ZNF19 ZNF319 CALB2 CMTM2 CDH3 CTRB1 MT2A CTRB2 CCDC113 CHST6 EXOC3L1 DYNC1LI2 KCTD19 IL34 CCDC102A ESRP2 SETD6 HYDIN AMFR RLTPR ZNF23 ACD CCL17 CES2 PARD6A ZFP1 NOL3 FHOD1 SLC12A4 CHST4 PHLPP2 DUS2 NFATC3 LCAT MT1X HSF4 ARL2BP MMP15 ST3GAL2 C16orf46 CHD9 CHST5 CDH5 WWOX SLC9A5 CNGB1 SLC6A2 FUK BEAN1 CLEC18B DPEP3 ENKD1 LRRC29 PDPR SLC7A6 TERF2IP ZNF821 GFOD2 TRADD TOX3 PLA2G15 ZFP90 PDF TMEM208 C16orf86 CDH11 CMTM3 NDRG4 SMPD3 TPPP3 MT1H ZNF423 AKTIP COQ9 HAS3 EDC4 NFAT5"
